Id Number, Age, State, Number of traps, 2018 Revenue,2019 Revenue
8077,59,1,350,31000,28418
8129,69,1,400,50000,40345
8312,39,1,700,85000,72620
8544,77,1,500,0,0
8837,66,1,450,0,32212
8917,71,1,500,3500,12468
8930,36,1,330,19000,16706
9066,48,1,150,11000,9403
9251,21,1,250,13000,13461
9370,57,1,400,0,35144
9405,38,1,600,0,32636
9420,53,1,300,26500,15748
10062,74,1,200,0,1925
10366,31,1,800,145000,96681
11305,51,1,1500,20000,36140
14895,73,1,450,1095,6848
26827,51,1,800,60000,0
70182,40,1,356,22000,20846
7016,64,1,175,4000,0
71024,50,1,350,0,20523
72843,59,1,600,13000,0
7867,62,1,550,4000,0
72882,83,1,180,0,7505
33,44,1,250,0,0
3931,66,2,180,0,0
5767,69,2,300,40000,0
7183,49,2,400,35000,50584
23,37,3,225,4000,0
704,65,3,600,60000,21808
145,40,3,600,60000,40996
1123,66,3,600,6500,0
1205,56,3,150,0,238754
34,37,3,250,0,0
